gauche_range=[60, 100]
trans_range=[160, 180]
syst	dist_lw	dist_av	#count	#trans	#gauche	   ratio(t:g)	bias_av	forc_lw	forc_av
00	3.9	3.7	7646	7384	262	96.6	3.4	6.7	150.0	4009.7
01	3.7	3.6	9369	6484	2885	69.2	30.8	4.3	150.0	2565.7
02	3.5	3.4	11207	3552	7655	31.7	68.3	3.4	150.0	2024.6
03	3.3	3.2	14054	1806	12248	12.9	87.1	2.2	150.0	1317.7
04	3.1	3.0	15121	1130	13991	7.5	92.5	1.7	150.0	996.5
05	2.9	2.9	15319	674	14645	4.4	95.6	1.1	150.0	668.7
06	2.7	2.7	18644	518	18126	2.8	97.2	0.8	150.0	478.6
07	2.5	2.6	15717	313	15404	2.0	98.0	0.6	150.0	343.2
08	2.3	2.4	13623	261	13362	1.9	98.1	0.4	150.0	254.6
09	2.1	2.3	13435	227	13208	1.7	98.3	0.4	150.0	236.7
10	1.9	2.1	11709	157	11552	1.3	98.7	0.3	150.0	199.3
11	1.7	2.0	11480	158	11322	1.4	98.6	0.4	150.0	222.9
12	1.5	1.8	9455	101	9354	1.1	98.9	0.5	150.0	329.1
13	1.3	1.4	8331	49	8282	0.6	99.4	1.0	150.0	570.1
14	1.1	1.1	8132	26	8106	0.3	99.7	1.3	150.0	809.1
15	0.9	1.0	8028	11	8017	0.1	99.9	0.6	150.0	335.0
16	0.7	0.8	10060	10	10050	0.1	99.9	0.5	150.0	308.7
17	0.5	0.6	5609	4	5605	0.1	99.9	0.4	150.0	258.9
18	0.3	0.8	7210	17	7193	0.2	99.8	0.0	150.0	0.0
19	0.1	0.7	8828	9	8819	0.1	99.9	0.0	150.0	0.0
20	4.0	3.7	8292	8226	66	99.2	0.8	10.5	150.0	6300.5
21	2.4	2.5	9982	172	9810	1.7	98.3	0.5	150.0	307.4
22	4.0	3.9	11705	11705	0	100.0	0.0	18.3	2250.0	164455.8
23	2.4	2.6	10632	181	10451	1.7	98.3	0.1	2250.0	1170.7
