gauche_range=[0.0, 100.0]
trans_range=[100.0, 180.0]
syst	dist_lw	dist_av	#count	#trans	#gauche	   ratio(t:g)	bias_av	forc_lw	forc_av
000	4.0	3.7	15003	14937	66	99.6	0.4	10.5	150.0	6300.5
005	3.9	3.7	15003	14741	262	98.3	1.7	6.7	150.0	4009.7
010	3.7	3.6	21555	18655	2900	86.5	13.5	4.3	150.0	2565.7
020	3.5	3.4	21303	13517	7786	63.5	36.5	3.4	150.0	2024.6
030	3.3	3.2	21447	8569	12878	40.0	60.0	2.2	150.0	1317.7
040	3.1	3.0	21399	6225	15174	29.1	70.9	1.7	150.0	996.5
050	2.9	2.9	20982	4093	16889	19.5	80.5	1.1	150.0	668.7
060	2.7	2.7	25662	3654	22008	14.2	85.8	0.8	150.0	478.6
070	2.5	2.6	22608	2239	20369	9.9	90.1	0.6	150.0	343.2
075	2.4	2.5	15003	1350	13653	9.0	91.0	0.5	150.0	307.4
080	2.3	2.4	20145	1829	18316	9.1	90.9	0.4	150.0	254.6
090	2.1	2.3	21147	1672	19475	7.9	92.1	0.4	150.0	236.7
100	1.9	2.1	19203	1259	17944	6.6	93.4	0.3	150.0	199.3
110	1.7	2.0	20391	1325	19066	6.5	93.5	0.4	150.0	222.9
120	1.5	1.8	20301	954	19347	4.7	95.3	0.5	150.0	329.1
130	1.3	1.4	21486	493	20993	2.3	97.7	1.0	150.0	570.1
140	1.1	1.1	22971	278	22693	1.2	98.8	1.3	150.0	809.1
150	0.9	1.0	19434	197	19237	1.0	99.0	0.6	150.0	335.0
160	0.7	0.8	23208	189	23019	0.8	99.2	0.5	150.0	308.7
170	0.5	0.6	19098	101	18997	0.5	99.5	0.4	150.0	258.9
180	0.3	0.8	19494	123	19371	0.6	99.4	0.0	150.0	0.0
190	0.1	0.7	22380	185	22195	0.8	99.2	0.0	150.0	0.0
